message,intent
Gampaha hospital is requesting drinking water and food for patients.,Supply
Just arrived at the shelter in Matara. It's crowded but safe.,Other
Helicopter rescue needed for a group of hikers in Nuwara Eliya.,Rescue
Gampaha hospital is requesting drinking water and food for patients.,Supply
Road block at the entrance to the highway in Ratnapura. Avoid the area.,Utility
Need ambulance to Ja-Ela for an elderly person with chest pain.,Medical
Rescue needed: Pregnant woman in labor at Ratnapura. Cannot reach hospital.,Medical
We need blankets and clothes for the children at the Nuwara Eliya school.,Supply
We need blankets and clothes for the children at the Kegalle school.,Supply
My grandfather has a high fever and we are cut off by floods in Badulla.,Medical
Just arrived at the shelter in Badulla. It's crowded but safe.,Other
The government has allocated relief funds for the Nuwara Eliya district.,Other
River overflow in Kolonnawa. Level 10.6m. Critical warning issued.,Utility
Just saw on news that Colombo town is flooded. Hope everyone is safe.,Other
Requesting 500 liters of drinking water for the shelter in Colombo.,Supply
Just saw on news that Kelaniya town is flooded. Hope everyone is safe.,Other
My grandfather is stuck in a tree in Kegalle (immediate danger).,Rescue
Helicopter rescue needed for a group of hikers in Nuwara Eliya.,Rescue
River overflow in Ratnapura. Level 4.6m. Critical warning issued.,Utility
We need blankets and clothes for the children at the Ja-Ela school.,Supply
I lost my ID card in the flood in Gampaha. What should I do?,Other
Helicopter rescue needed for a group of hikers in Kolonnawa.,Rescue
Road block at the entrance to the highway in Wellampitiya. Avoid the area.,Utility
Help! My brother is bedridden and the water is knee deep. Location: Kelaniya.,Medical
Please pray for Sri Lanka. Stay safe everyone.,Other
Just arrived at the shelter in Ja-Ela. It's crowded but safe.,Other
Does anyone have extra dry rations for the camp in Matara?,Supply
I lost my ID card in the flood in Ratnapura. What should I do?,Other
SOS: 17 people trapped on a roof in Gampaha. Water rising fast.,Rescue
Is the highway open? I need to get to the airport from Matara.,Utility
Emergency: Gampaha area flooded. People stranded on top of a van.,Rescue
Need ambulance to Kolonnawa for an elderly person with chest pain.,Medical
Helicopter rescue needed for a group of hikers in Kolonnawa.,Rescue
We need blankets and clothes for the children at the Kelaniya school.,Supply
Road block at the entrance to the highway in Badulla. Avoid the area.,Utility
My uncle is stuck in a tree in Colombo (immediate danger).,Rescue
Need ambulance to Badulla for an elderly person with chest pain.,Medical
Just arrived at the shelter in Nuwara Eliya. It's crowded but safe.,Other
Update: Low Level Road road cleared near Kandy. Traffic moving slowly.,Utility
Donation needed: 6 packets of rice and curry for lunch in Nuwara Eliya.,Supply
Does anyone have extra dry rations for the camp in Kegalle?,Supply
My dog is missing in Nuwara Eliya. Has anyone seen him?,Other
Rescue needed: Pregnant woman in labor at Wellampitiya. Cannot reach hospital.,Medical
Update: Kandy Road road cleared near Ratnapura. Traffic moving slowly.,Utility
My dog is missing in Kelaniya. Has anyone seen him?,Other
BREAKING: Water levels in Nilwala River (Matara) have reached 4.6 meters. Warning!,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
Donation needed: 17 packets of rice and curry for lunch in Kegalle.,Supply
Donation drive happening at the town hall in Ja-Ela tomorrow.,Other
Electricity restored in some parts of Wattala. Infrastructure stable.,Utility
Road block at the entrance to the highway in Kolonnawa. Avoid the area.,Utility
My dog is missing in Kolonnawa. Has anyone seen him?,Other
I lost my ID card in the flood in Wattala. What should I do?,Other
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Donation needed: 5 packets of rice and curry for lunch in Colombo.,Supply
We need blankets and clothes for the children at the Colombo school.,Supply
Need ambulance to Kegalle for an elderly person with chest pain.,Medical
BREAKING: Water levels in Kalu Ganga (Kelaniya) have reached 12.0 meters. Warning!,Utility
Emergency: Tree fell on a house in Nuwara Eliya. 16 injured.,Medical
Electricity restored in some parts of Kolonnawa. Infrastructure stable.,Utility
We are trapped in the attic in Colombo. 6 kids. Water is entering.,Rescue
Gampaha hospital is requesting drinking water and food for patients.,Supply
We need milk powder and diapers for 9 babies at the Matara camp.,Supply
My dog is missing in Wattala. Has anyone seen him?,Other
Gampaha hospital is requesting drinking water and food for patients.,Supply
Donation needed: 4 packets of rice and curry for lunch in Badulla.,Supply
Is the highway open? I need to get to the airport from Kelaniya.,Utility
Warning: Dengue risk is high in Kolonnawa due to stagnant water.,Medical
Just arrived at the shelter in Kandy. It's crowded but safe.,Other
Please pray for Sri Lanka. Stay safe everyone.,Other
We are trapped in the attic in Kegalle. 14 kids. Water is entering.,Rescue
Please pray for Sri Lanka. Stay safe everyone.,Other
Rescue needed: Pregnant woman in labor at Kegalle. Cannot reach hospital.,Medical
Donation needed: 8 packets of rice and curry for lunch in Ratnapura.,Supply
Donation drive happening at the town hall in Matara tomorrow.,Other
SOS: 7 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Requesting 500 liters of drinking water for the shelter in Wellampitiya.,Supply
Rescue needed: Pregnant woman in labor at Gampaha. Cannot reach hospital.,Medical
Boat capsized in Nuwara Eliya. 9 people in the water. Need help!,Rescue
Gampaha hospital is requesting urgent medicine for 3 patients.,Medical
River overflow in Kelaniya. Level 6.9m. Critical warning issued.,Utility
River overflow in Kelaniya. Level 6.2m. Critical warning issued.,Utility
Emergency: Colombo area flooded. People stranded on top of a van.,Rescue
Help! My neighbor is bedridden and the water is knee deep. Location: Matara.,Medical
We are trapped in the attic in Kandy. 19 kids. Water is entering.,Rescue
Warning: Dengue risk is high in Nuwara Eliya due to stagnant water.,Medical
We need milk powder and diapers for 10 babies at the Wellampitiya camp.,Supply
Help! My brother is bedridden and the water is knee deep. Location: Nuwara Eliya.,Medical
Warning: Dengue risk is high in Kegalle due to stagnant water.,Medical
Update: Low Level Road road cleared near Badulla. Traffic moving slowly.,Utility
Does anyone have extra dry rations for the camp in Wattala?,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
The government has allocated relief funds for the Colombo district.,Other
Requesting 500 liters of drinking water for the shelter in Kolonnawa.,Supply
River overflow in Kelaniya. Level 9.1m. Critical warning issued.,Utility
Rescue needed: Pregnant woman in labor at Kolonnawa. Cannot reach hospital.,Medical
Just arrived at the shelter in Kelaniya. It's crowded but safe.,Other
Need ambulance to Nuwara Eliya for an elderly person with chest pain.,Medical
My dog is missing in Matara. Has anyone seen him?,Other
Electricity restored in some parts of Badulla. Infrastructure stable.,Utility
Electricity restored in some parts of Kegalle. Infrastructure stable.,Utility
Just saw on news that Ja-Ela town is flooded. Hope everyone is safe.,Other
Help! My brother is bedridden and the water is knee deep. Location: Kolonnawa.,Medical
We need milk powder and diapers for 13 babies at the Kolonnawa camp.,Supply
Helicopter rescue needed for a group of hikers in Nuwara Eliya.,Rescue
Update: High Level Road road cleared near Kandy. Traffic moving slowly.,Utility
We need milk powder and diapers for 9 babies at the Matara camp.,Supply
Is the highway open? I need to get to the airport from Nuwara Eliya.,Utility
My grandmother is stuck in a tree in Nuwara Eliya (immediate danger).,Rescue
Please pray for Sri Lanka. Stay safe everyone.,Other
Electricity restored in some parts of Kolonnawa. Infrastructure stable.,Utility
Rescue needed: Pregnant woman in labor at Kandy. Cannot reach hospital.,Medical
Helicopter rescue needed for a group of hikers in Kandy.,Rescue
Is the highway open? I need to get to the airport from Kandy.,Utility
Need ambulance to Kolonnawa for an elderly person with chest pain.,Medical
SOS: 10 people trapped on a roof in Wellampitiya. Water rising fast.,Rescue
URGENT: Landslide in Kolonnawa. 5 houses buried. Need rescue team immediately.,Rescue
Just arrived at the shelter in Wellampitiya. It's crowded but safe.,Other
My neighbor has a high fever and we are cut off by floods in Wellampitiya.,Medical
Need ambulance to Kolonnawa for an elderly person with chest pain.,Medical
SOS: 7 people trapped on a roof in Ja-Ela. Water rising fast.,Rescue
We are trapped in the attic in Matara. 6 kids. Water is entering.,Rescue
Electricity restored in some parts of Wattala. Infrastructure stable.,Utility
Requesting 500 liters of drinking water for the shelter in Nuwara Eliya.,Supply
Just arrived at the shelter in Matara. It's crowded but safe.,Other
We need blankets and clothes for the children at the Ratnapura school.,Supply
SOS: 20 people stranded on a rock in Nilwala River. Water rising rapidly.,Rescue
Warning: Dengue risk is high in Kandy due to stagnant water.,Medical
Warning: Dengue risk is high in Kandy due to stagnant water.,Medical
My dog is missing in Nuwara Eliya. Has anyone seen him?,Other
Emergency: Tree fell on a house in Kandy. 18 injured.,Medical
My brother has a high fever and we are cut off by floods in Colombo.,Medical
Does anyone have extra dry rations for the camp in Matara?,Supply
Need ambulance to Badulla for an elderly person with chest pain.,Medical
Electricity restored in some parts of Badulla. Infrastructure stable.,Utility
We need milk powder and diapers for 2 babies at the Ratnapura camp.,Supply
Help! My neighbor is bedridden and the water is knee deep. Location: Gampaha.,Medical
Warning: Dengue risk is high in Nuwara Eliya due to stagnant water.,Medical
We are trapped in the attic in Wellampitiya. 13 kids. Water is entering.,Rescue
We need milk powder and diapers for 5 babies at the Matara camp.,Supply
Boat capsized in Badulla. 16 people in the water. Need help!,Rescue
Help! My sister is bedridden and the water is knee deep. Location: Kandy.,Medical
Just arrived at the shelter in Matara. It's crowded but safe.,Other
Please pray for Sri Lanka. Stay safe everyone.,Other
My grandfather has a high fever and we are cut off by floods in Wattala.,Medical
Warning: Dengue risk is high in Ja-Ela due to stagnant water.,Medical
I lost my ID card in the flood in Kegalle. What should I do?,Other
My brother is stuck in a tree in Wellampitiya (immediate danger).,Rescue
BREAKING: Water levels in Mahaweli River (Matara) have reached 6.5 meters. Warning!,Utility
Donation drive happening at the town hall in Kandy tomorrow.,Other
Road block at the entrance to the highway in Kelaniya. Avoid the area.,Utility
We are trapped in the attic in Nuwara Eliya. 8 kids. Water is entering.,Rescue
Donation needed: 3 packets of rice and curry for lunch in Matara.,Supply
Gampaha hospital is requesting drinking water and food for patients.,Supply
My dog is missing in Kelaniya. Has anyone seen him?,Other
My sister has a high fever and we are cut off by floods in Matara.,Medical
Gampaha hospital is requesting urgent medicine for 11 patients.,Medical
BREAKING: Water levels in Kelani River (Gampaha) have reached 11.2 meters. Warning!,Utility
URGENT: Landslide in Kelaniya. 19 houses buried. Need rescue team immediately.,Rescue
Gampaha hospital is requesting urgent medicine for 14 patients.,Medical
We are trapped in the attic in Kegalle. 4 kids. Water is entering.,Rescue
Gampaha hospital is requesting drinking water and food for patients.,Supply
Just arrived at the shelter in Kegalle. It's crowded but safe.,Other
BREAKING: Water levels in Nilwala River (Matara) have reached 11.7 meters. Warning!,Utility
My dog is missing in Kandy. Has anyone seen him?,Other
SOS: 7 people trapped on a roof in Wattala. Water rising fast.,Rescue
Just arrived at the shelter in Ja-Ela. It's crowded but safe.,Other
BREAKING: Water levels in Nilwala River (Ja-Ela) have reached 5.9 meters. Warning!,Utility
Helicopter rescue needed for a group of hikers in Colombo.,Rescue
Please pray for Sri Lanka. Stay safe everyone.,Other
Gampaha hospital is requesting drinking water and food for patients.,Supply
URGENT: Landslide in Wellampitiya. 10 houses buried. Need rescue team immediately.,Rescue
Emergency: Ja-Ela area flooded. People stranded on top of a van.,Rescue
SOS: 17 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Requesting 500 liters of drinking water for the shelter in Badulla.,Supply
BREAKING: Water levels in Kalu Ganga (Kelaniya) have reached 11.3 meters. Warning!,Utility
SOS: 20 people trapped on a roof in Gampaha. Water rising fast.,Rescue
Need ambulance to Badulla for an elderly person with chest pain.,Medical
Warning: Dengue risk is high in Ratnapura due to stagnant water.,Medical
The government has allocated relief funds for the Kolonnawa district.,Other
River overflow in Gampaha. Level 4.5m. Critical warning issued.,Utility
Electricity restored in some parts of Wellampitiya. Infrastructure stable.,Utility
My grandfather is stuck in a tree in Badulla (immediate danger).,Rescue
Helicopter rescue needed for a group of hikers in Kegalle.,Rescue
My brother has a high fever and we are cut off by floods in Badulla.,Medical
Emergency: Tree fell on a house in Badulla. 9 injured.,Medical
The government has allocated relief funds for the Kelaniya district.,Other
We need blankets and clothes for the children at the Badulla school.,Supply
Donation drive happening at the town hall in Kelaniya tomorrow.,Other
Warning: Dengue risk is high in Wellampitiya due to stagnant water.,Medical
My dog is missing in Ja-Ela. Has anyone seen him?,Other
Electricity restored in some parts of Nuwara Eliya. Infrastructure stable.,Utility
URGENT: Landslide in Kolonnawa. 15 houses buried. Need rescue team immediately.,Rescue
Donation drive happening at the town hall in Kegalle tomorrow.,Other
My dog is missing in Matara. Has anyone seen him?,Other
We need blankets and clothes for the children at the Nuwara Eliya school.,Supply
Electricity restored in some parts of Kolonnawa. Infrastructure stable.,Utility
We are trapped in the attic in Matara. 9 kids. Water is entering.,Rescue
Is the highway open? I need to get to the airport from Kegalle.,Utility
We are trapped in the attic in Ja-Ela. 13 kids. Water is entering.,Rescue
We need milk powder and diapers for 18 babies at the Gampaha camp.,Supply
Rescue needed: Pregnant woman in labor at Kolonnawa. Cannot reach hospital.,Medical
Just saw on news that Colombo town is flooded. Hope everyone is safe.,Other
My sister has a high fever and we are cut off by floods in Colombo.,Medical
Road block at the entrance to the highway in Wellampitiya. Avoid the area.,Utility
Does anyone have extra dry rations for the camp in Ratnapura?,Supply
Electricity restored in some parts of Kelaniya. Infrastructure stable.,Utility
Road block at the entrance to the highway in Nuwara Eliya. Avoid the area.,Utility
Just saw on news that Wattala town is flooded. Hope everyone is safe.,Other
Rescue needed: Pregnant woman in labor at Ja-Ela. Cannot reach hospital.,Medical
Gampaha hospital is requesting urgent medicine for 15 patients.,Medical
Electricity restored in some parts of Kolonnawa. Infrastructure stable.,Utility
My dog is missing in Kelaniya. Has anyone seen him?,Other
We are trapped in the attic in Wattala. 6 kids. Water is entering.,Rescue
Update: Galle Road road cleared near Colombo. Traffic moving slowly.,Utility
URGENT: Landslide in Wattala. 8 houses buried. Need rescue team immediately.,Rescue
Gampaha hospital is requesting urgent medicine for 5 patients.,Medical
We are trapped in the attic in Matara. 8 kids. Water is entering.,Rescue
Road block at the entrance to the highway in Ja-Ela. Avoid the area.,Utility
Does anyone have extra dry rations for the camp in Gampaha?,Supply
I lost my ID card in the flood in Colombo. What should I do?,Other
Requesting 500 liters of drinking water for the shelter in Ratnapura.,Supply
I lost my ID card in the flood in Colombo. What should I do?,Other
BREAKING: Water levels in Nilwala River (Gampaha) have reached 7.3 meters. Warning!,Utility
My dog is missing in Badulla. Has anyone seen him?,Other
My dog is missing in Kelaniya. Has anyone seen him?,Other
Need ambulance to Kolonnawa for an elderly person with chest pain.,Medical
River overflow in Nuwara Eliya. Level 9.0m. Critical warning issued.,Utility
Road block at the entrance to the highway in Matara. Avoid the area.,Utility
URGENT: Landslide in Ja-Ela. 14 houses buried. Need rescue team immediately.,Rescue
Does anyone have extra dry rations for the camp in Badulla?,Supply
We need milk powder and diapers for 14 babies at the Kegalle camp.,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
The government has allocated relief funds for the Kolonnawa district.,Other
Electricity restored in some parts of Kegalle. Infrastructure stable.,Utility
Emergency: Tree fell on a house in Ratnapura. 8 injured.,Medical
Requesting 500 liters of drinking water for the shelter in Ja-Ela.,Supply
River overflow in Kelaniya. Level 5.6m. Critical warning issued.,Utility
Gampaha hospital is requesting urgent medicine for 7 patients.,Medical
Update: Galle Road road cleared near Wattala. Traffic moving slowly.,Utility
Does anyone have extra dry rations for the camp in Kelaniya?,Supply
My sister is stuck in a tree in Badulla (immediate danger).,Rescue
River overflow in Colombo. Level 11.9m. Critical warning issued.,Utility
Just saw on news that Gampaha town is flooded. Hope everyone is safe.,Other
Need ambulance to Gampaha for an elderly person with chest pain.,Medical
Road block at the entrance to the highway in Matara. Avoid the area.,Utility
URGENT: Landslide in Wattala. 2 houses buried. Need rescue team immediately.,Rescue
Electricity restored in some parts of Kolonnawa. Infrastructure stable.,Utility
BREAKING: Water levels in Nilwala River (Colombo) have reached 8.6 meters. Warning!,Utility
Boat capsized in Badulla. 4 people in the water. Need help!,Rescue
Help! My neighbor is bedridden and the water is knee deep. Location: Matara.,Medical
Update: Low Level Road road cleared near Wellampitiya. Traffic moving slowly.,Utility
Emergency: Tree fell on a house in Kegalle. 14 injured.,Medical
Donation needed: 3 packets of rice and curry for lunch in Kelaniya.,Supply
Requesting 500 liters of drinking water for the shelter in Kegalle.,Supply
The government has allocated relief funds for the Matara district.,Other
Rescue needed: Pregnant woman in labor at Gampaha. Cannot reach hospital.,Medical
River overflow in Wellampitiya. Level 9.4m. Critical warning issued.,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
We need blankets and clothes for the children at the Gampaha school.,Supply
Boat capsized in Kandy. 20 people in the water. Need help!,Rescue
Requesting 500 liters of drinking water for the shelter in Wellampitiya.,Supply
Road block at the entrance to the highway in Kandy. Avoid the area.,Utility
Helicopter rescue needed for a group of hikers in Matara.,Rescue
We are trapped in the attic in Kolonnawa. 2 kids. Water is entering.,Rescue
Road block at the entrance to the highway in Kandy. Avoid the area.,Utility
Requesting 500 liters of drinking water for the shelter in Kegalle.,Supply
River overflow in Nuwara Eliya. Level 9.3m. Critical warning issued.,Utility
My sister has a high fever and we are cut off by floods in Badulla.,Medical
Need ambulance to Badulla for an elderly person with chest pain.,Medical
Please pray for Sri Lanka. Stay safe everyone.,Other
My uncle is stuck in a tree in Nuwara Eliya (immediate danger).,Rescue
We need blankets and clothes for the children at the Gampaha school.,Supply
Rescue needed: Pregnant woman in labor at Wattala. Cannot reach hospital.,Medical
Road block at the entrance to the highway in Kandy. Avoid the area.,Utility
The government has allocated relief funds for the Ratnapura district.,Other
My dog is missing in Kelaniya. Has anyone seen him?,Other
URGENT: Landslide in Kegalle. 16 houses buried. Need rescue team immediately.,Rescue
Boat capsized in Colombo. 17 people in the water. Need help!,Rescue
Requesting 500 liters of drinking water for the shelter in Wellampitiya.,Supply
SOS: 12 people stranded on a rock in Kelani River. Water rising rapidly.,Rescue
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
River overflow in Kegalle. Level 5.7m. Critical warning issued.,Utility
Donation drive happening at the town hall in Kandy tomorrow.,Other
We need blankets and clothes for the children at the Matara school.,Supply
Help! My uncle is bedridden and the water is knee deep. Location: Badulla.,Medical
SOS: 17 people trapped on a roof in Kelaniya. Water rising fast.,Rescue
My grandmother has a high fever and we are cut off by floods in Kolonnawa.,Medical
Just saw on news that Kelaniya town is flooded. Hope everyone is safe.,Other
BREAKING: Water levels in Nilwala River (Matara) have reached 8.2 meters. Warning!,Utility
River overflow in Kandy. Level 6.8m. Critical warning issued.,Utility
Boat capsized in Nuwara Eliya. 12 people in the water. Need help!,Rescue
Update: High Level Road road cleared near Colombo. Traffic moving slowly.,Utility
Does anyone have extra dry rations for the camp in Badulla?,Supply
Road block at the entrance to the highway in Colombo. Avoid the area.,Utility
Is the highway open? I need to get to the airport from Kandy.,Utility
We need milk powder and diapers for 18 babies at the Wattala camp.,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
I lost my ID card in the flood in Wellampitiya. What should I do?,Other
Warning: Dengue risk is high in Wattala due to stagnant water.,Medical
Please pray for Sri Lanka. Stay safe everyone.,Other
Donation needed: 13 packets of rice and curry for lunch in Colombo.,Supply
Help! My brother is bedridden and the water is knee deep. Location: Kandy.,Medical
Is the highway open? I need to get to the airport from Kolonnawa.,Utility
Helicopter rescue needed for a group of hikers in Ratnapura.,Rescue
Road block at the entrance to the highway in Gampaha. Avoid the area.,Utility
URGENT: Landslide in Ja-Ela. 8 houses buried. Need rescue team immediately.,Rescue
Helicopter rescue needed for a group of hikers in Nuwara Eliya.,Rescue
Emergency: Colombo area flooded. People stranded on top of a van.,Rescue
Electricity restored in some parts of Kandy. Infrastructure stable.,Utility
Is the highway open? I need to get to the airport from Nuwara Eliya.,Utility
Does anyone have extra dry rations for the camp in Wattala?,Supply
Does anyone have extra dry rations for the camp in Colombo?,Supply
Gampaha hospital is requesting drinking water and food for patients.,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
Does anyone have extra dry rations for the camp in Wellampitiya?,Supply
We need milk powder and diapers for 11 babies at the Matara camp.,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
Donation needed: 3 packets of rice and curry for lunch in Ja-Ela.,Supply
SOS: 3 people stranded on a rock in Nilwala River. Water rising rapidly.,Rescue
SOS: 13 people trapped on a roof in Wattala. Water rising fast.,Rescue
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
Helicopter rescue needed for a group of hikers in Kandy.,Rescue
River overflow in Wellampitiya. Level 6.8m. Critical warning issued.,Utility
Helicopter rescue needed for a group of hikers in Kegalle.,Rescue
Does anyone have extra dry rations for the camp in Matara?,Supply
Rescue needed: Pregnant woman in labor at Ja-Ela. Cannot reach hospital.,Medical
Road block at the entrance to the highway in Kelaniya. Avoid the area.,Utility
Donation needed: 10 packets of rice and curry for lunch in Kandy.,Supply
Boat capsized in Gampaha. 19 people in the water. Need help!,Rescue
Road block at the entrance to the highway in Ratnapura. Avoid the area.,Utility
Electricity restored in some parts of Wattala. Infrastructure stable.,Utility
Electricity restored in some parts of Matara. Infrastructure stable.,Utility
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
My uncle is stuck in a tree in Gampaha (immediate danger).,Rescue
We need blankets and clothes for the children at the Kolonnawa school.,Supply
We are trapped in the attic in Wattala. 6 kids. Water is entering.,Rescue
SOS: 20 people trapped on a roof in Nuwara Eliya. Water rising fast.,Rescue
My dog is missing in Kegalle. Has anyone seen him?,Other
We need milk powder and diapers for 16 babies at the Kolonnawa camp.,Supply
Just saw on news that Gampaha town is flooded. Hope everyone is safe.,Other
Requesting 500 liters of drinking water for the shelter in Badulla.,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
SOS: 2 people trapped on a roof in Kandy. Water rising fast.,Rescue
We need milk powder and diapers for 3 babies at the Colombo camp.,Supply
Does anyone have extra dry rations for the camp in Colombo?,Supply
I lost my ID card in the flood in Kandy. What should I do?,Other
Requesting 500 liters of drinking water for the shelter in Nuwara Eliya.,Supply
Electricity restored in some parts of Gampaha. Infrastructure stable.,Utility
My dog is missing in Wellampitiya. Has anyone seen him?,Other
BREAKING: Water levels in Nilwala River (Wellampitiya) have reached 6.2 meters. Warning!,Utility
BREAKING: Water levels in Kelani River (Kelaniya) have reached 11.6 meters. Warning!,Utility
Donation needed: 5 packets of rice and curry for lunch in Colombo.,Supply
Warning: Dengue risk is high in Colombo due to stagnant water.,Medical
SOS: 2 people stranded on a rock in Mahaweli River. Water rising rapidly.,Rescue
Just arrived at the shelter in Matara. It's crowded but safe.,Other
Emergency: Kelaniya area flooded. People stranded on top of a van.,Rescue
River overflow in Wellampitiya. Level 6.3m. Critical warning issued.,Utility
Is the highway open? I need to get to the airport from Ja-Ela.,Utility
Is the highway open? I need to get to the airport from Badulla.,Utility
SOS: 17 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Does anyone have extra dry rations for the camp in Nuwara Eliya?,Supply
Does anyone have extra dry rations for the camp in Colombo?,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
My sister has a high fever and we are cut off by floods in Gampaha.,Medical
Emergency: Kegalle area flooded. People stranded on top of a van.,Rescue
Boat capsized in Matara. 6 people in the water. Need help!,Rescue
We need blankets and clothes for the children at the Kolonnawa school.,Supply
River overflow in Matara. Level 10.0m. Critical warning issued.,Utility
SOS: 19 people stranded on a rock in Mahaweli River. Water rising rapidly.,Rescue
Donation drive happening at the town hall in Badulla tomorrow.,Other
I lost my ID card in the flood in Ratnapura. What should I do?,Other
Just arrived at the shelter in Gampaha. It's crowded but safe.,Other
Update: High Level Road road cleared near Wattala. Traffic moving slowly.,Utility
Electricity restored in some parts of Gampaha. Infrastructure stable.,Utility
Warning: Dengue risk is high in Badulla due to stagnant water.,Medical
Just arrived at the shelter in Kelaniya. It's crowded but safe.,Other
URGENT: Landslide in Ratnapura. 17 houses buried. Need rescue team immediately.,Rescue
Donation drive happening at the town hall in Kolonnawa tomorrow.,Other
Need ambulance to Colombo for an elderly person with chest pain.,Medical
Just saw on news that Kegalle town is flooded. Hope everyone is safe.,Other
Just arrived at the shelter in Ratnapura. It's crowded but safe.,Other
SOS: 10 people stranded on a rock in Mahaweli River. Water rising rapidly.,Rescue
Boat capsized in Kolonnawa. 3 people in the water. Need help!,Rescue
Does anyone have extra dry rations for the camp in Kandy?,Supply
Emergency: Tree fell on a house in Kandy. 9 injured.,Medical
Requesting 500 liters of drinking water for the shelter in Kelaniya.,Supply
Emergency: Tree fell on a house in Kelaniya. 9 injured.,Medical
Does anyone have extra dry rations for the camp in Kegalle?,Supply
Just arrived at the shelter in Kegalle. It's crowded but safe.,Other
My grandfather is stuck in a tree in Badulla (immediate danger).,Rescue
Is the highway open? I need to get to the airport from Wattala.,Utility
We need blankets and clothes for the children at the Wellampitiya school.,Supply
My uncle is stuck in a tree in Kandy (immediate danger).,Rescue
Rescue needed: Pregnant woman in labor at Wattala. Cannot reach hospital.,Medical
My dog is missing in Kandy. Has anyone seen him?,Other
Emergency: Gampaha area flooded. People stranded on top of a van.,Rescue
Help! My brother is bedridden and the water is knee deep. Location: Kegalle.,Medical
My dog is missing in Kegalle. Has anyone seen him?,Other
We need blankets and clothes for the children at the Kandy school.,Supply
My dog is missing in Ratnapura. Has anyone seen him?,Other
My uncle is stuck in a tree in Ratnapura (immediate danger).,Rescue
Help! My grandfather is bedridden and the water is knee deep. Location: Matara.,Medical
My brother is stuck in a tree in Wellampitiya (immediate danger).,Rescue
I lost my ID card in the flood in Kolonnawa. What should I do?,Other
Helicopter rescue needed for a group of hikers in Wattala.,Rescue
The government has allocated relief funds for the Wellampitiya district.,Other
Road block at the entrance to the highway in Ja-Ela. Avoid the area.,Utility
Just arrived at the shelter in Gampaha. It's crowded but safe.,Other
SOS: 12 people stranded on a rock in Kelani River. Water rising rapidly.,Rescue
BREAKING: Water levels in Kelani River (Colombo) have reached 9.5 meters. Warning!,Utility
Requesting 500 liters of drinking water for the shelter in Matara.,Supply
Does anyone have extra dry rations for the camp in Badulla?,Supply
Road block at the entrance to the highway in Kelaniya. Avoid the area.,Utility
We need milk powder and diapers for 8 babies at the Kandy camp.,Supply
Is the highway open? I need to get to the airport from Ratnapura.,Utility
Emergency: Nuwara Eliya area flooded. People stranded on top of a van.,Rescue
River overflow in Ratnapura. Level 8.7m. Critical warning issued.,Utility
Is the highway open? I need to get to the airport from Badulla.,Utility
BREAKING: Water levels in Mahaweli River (Colombo) have reached 8.0 meters. Warning!,Utility
Is the highway open? I need to get to the airport from Colombo.,Utility
I lost my ID card in the flood in Wellampitiya. What should I do?,Other
I lost my ID card in the flood in Kelaniya. What should I do?,Other
Please pray for Sri Lanka. Stay safe everyone.,Other
We need blankets and clothes for the children at the Wellampitiya school.,Supply
Boat capsized in Badulla. 17 people in the water. Need help!,Rescue
Need ambulance to Kegalle for an elderly person with chest pain.,Medical
Is the highway open? I need to get to the airport from Ratnapura.,Utility
Need ambulance to Ratnapura for an elderly person with chest pain.,Medical
Electricity restored in some parts of Kandy. Infrastructure stable.,Utility
SOS: 2 people trapped on a roof in Wattala. Water rising fast.,Rescue
The government has allocated relief funds for the Nuwara Eliya district.,Other
Update: High Level Road road cleared near Badulla. Traffic moving slowly.,Utility
My grandmother has a high fever and we are cut off by floods in Colombo.,Medical
Just saw on news that Ja-Ela town is flooded. Hope everyone is safe.,Other
We need milk powder and diapers for 7 babies at the Wellampitiya camp.,Supply
The government has allocated relief funds for the Kolonnawa district.,Other
Donation needed: 20 packets of rice and curry for lunch in Kelaniya.,Supply
We are trapped in the attic in Kelaniya. 13 kids. Water is entering.,Rescue
River overflow in Kolonnawa. Level 6.8m. Critical warning issued.,Utility
My dog is missing in Matara. Has anyone seen him?,Other
URGENT: Landslide in Badulla. 5 houses buried. Need rescue team immediately.,Rescue
Just arrived at the shelter in Ja-Ela. It's crowded but safe.,Other
